For N equals =100000 Serial execution time = 0.015131 sec Parallel dot product = 3.33328e+13 time using reduction method = 0.013312 sec, time using critical method 0.103065 sec
For N equals =100000 Serial execution time = 0.015101 sec Parallel dot product = 3.33328e+13 time using reduction method = 0.009271 sec, time using critical method 0.103433 sec
For N equals =100000 Serial execution time = 0.015253 sec Parallel dot product = 3.33328e+13 time using reduction method = 0.010009 sec, time using critical method 0.10302 sec
For N equals =100000 Serial execution time = 0.015006 sec Parallel dot product = 3.33328e+13 time using reduction method = 0.008252 sec, time using critical method 0.103245 sec
For N equals =100000 Serial execution time = 0.015025 sec Parallel dot product = 3.33328e+13 time using reduction method = 0.009294 sec, time using critical method 0.103656 sec
For N equals =100000 Serial execution time = 0.015016 sec Parallel dot product = 3.33328e+13 time using reduction method = 0.009612 sec, time using critical method 0.103185 sec
For N equals =100000 Serial execution time = 0.015227 sec Parallel dot product = 3.33328e+13 time using reduction method = 0.011504 sec, time using critical method 0.102786 sec
For N equals =100000 Serial execution time = 0.014981 sec Parallel dot product = 3.33328e+13 time using reduction method = 0.0102 sec, time using critical method 0.105692 sec
For N equals =100000 Serial execution time = 0.015066 sec Parallel dot product = 3.33328e+13 time using reduction method = 0.010258 sec, time using critical method 0.102834 sec
For N equals =100000 Serial execution time = 0.015003 sec Parallel dot product = 3.33328e+13 time using reduction method = 0.009567 sec, time using critical method 0.102753 sec
For N equals =100000 Serial execution time = 0.014986 sec Parallel dot product = 3.33328e+13 time using reduction method = 0.008206 sec, time using critical method 0.104006 sec
For N equals =100000 Serial execution time = 0.015003 sec Parallel dot product = 3.33328e+13 time using reduction method = 0.009736 sec, time using critical method 0.102659 sec
For N equals =100000 Serial execution time = 0.015023 sec Parallel dot product = 3.33328e+13 time using reduction method = 0.009319 sec, time using critical method 0.1046 sec
For N equals =100000 Serial execution time = 0.015001 sec Parallel dot product = 3.33328e+13 time using reduction method = 0.008055 sec, time using critical method 0.102999 sec
For N equals =100000 Serial execution time = 0.015092 sec Parallel dot product = 3.33328e+13 time using reduction method = 0.011601 sec, time using critical method 0.10303 sec
For N equals =100000 Serial execution time = 0.014975 sec Parallel dot product = 3.33328e+13 time using reduction method = 0.009556 sec, time using critical method 0.103781 sec
For N equals =100000 Serial execution time = 0.014988 sec Parallel dot product = 3.33328e+13 time using reduction method = 0.00963 sec, time using critical method 0.102891 sec
For N equals =100000 Serial execution time = 0.01508 sec Parallel dot product = 3.33328e+13 time using reduction method = 0.008654 sec, time using critical method 0.10352 sec
For N equals =100000 Serial execution time = 0.015016 sec Parallel dot product = 3.33328e+13 time using reduction method = 0.009542 sec, time using critical method 0.103417 sec
For N equals =100000 Serial execution time = 0.015058 sec Parallel dot product = 3.33328e+13 time using reduction method = 0.010746 sec, time using critical method 0.102801 sec
For N equals =100000 Serial execution time = 0.014997 sec Parallel dot product = 3.33328e+13 time using reduction method = 0.009247 sec, time using critical method 0.104443 sec
For N equals =100000 Serial execution time = 0.015084 sec Parallel dot product = 3.33328e+13 time using reduction method = 0.008152 sec, time using critical method 0.103693 sec
For N equals =100000 Serial execution time = 0.015081 sec Parallel dot product = 3.33328e+13 time using reduction method = 0.010995 sec, time using critical method 0.103887 sec
For N equals =100000 Serial execution time = 0.015153 sec Parallel dot product = 3.33328e+13 time using reduction method = 0.008638 sec, time using critical method 0.103899 sec


------------------------------------------------------

For N equals =1000000 Serial execution time = 0.153772 sec Parallel dot product = 3.33333e+16 time using reduction method = 0.035871 sec, time using critical method 1.04154 sec
For N equals =1000000 Serial execution time = 0.152163 sec Parallel dot product = 3.33333e+16 time using reduction method = 0.036332 sec, time using critical method 1.04075 sec
For N equals =1000000 Serial execution time = 0.152496 sec Parallel dot product = 3.33333e+16 time using reduction method = 0.035719 sec, time using critical method 1.03728 sec
For N equals =1000000 Serial execution time = 0.152068 sec Parallel dot product = 3.33333e+16 time using reduction method = 0.036932 sec, time using critical method 1.03824 sec
